IDP	trait	Pvalue	ES
C64_18	AD	1.3743182729082185e-58	0.1541124795417869
C64_19	AD	2.5524946264645696e-43	0.1104850254657408
C64_20	AD	1.1115393628758524e-12	0.028254410855791
C64_21	AD	4.152588827473465e-21	0.0501349679966424
C64_22	AD	1.008301992059685e-20	0.0491210517854516
C64_23	AD	2.1323818693077183e-68	0.183056113098172
C64_24	AD	2.3818384580531532e-45	0.1161842366410279
C64_25	AD	6.911354743870177e-11	0.0236863393210382
C64_26	AD	9.108242401983766e-13	0.0284716257043731
C64_27	AD	4.0035087527407075e-34	0.0850518494481626
C64_28	AD	0.0007011070826389	0.0063386212505838
C64_29	AD	7.138508782638351e-22	0.0521473711762909
C64_30	AD	4.990264209574042e-49	0.1265859219320111
C64_31	AD	7.572862808771737e-28	0.0680510669619775
C64_32	AD	1.161137314612806e-13	0.0307625918273498
C64_33	AD	6.576390508086217e-69	0.1845923490988226
C64_34	AD	1.788117047638229e-31	0.0778322598816346
C64_35	AD	1.8009565839552253e-33	0.0832695548121399
C64_36	AD	1.139957983021602e-11	0.0256683602840867
C64_37	AD	8.604562049108955e-22	0.0519337272023624
C64_38	AD	4.8476179199892656e-32	0.0793729063067523
C64_39	AD	1.814505774060296e-35	0.088726065667417
C64_40	AD	5.618091760657665e-58	0.1523289264650653
C64_41	AD	2.4013283257142912e-25	0.0613584032172991
C64_42	AD	2.3431280836976497e-89	0.2474415047035996
C64_43	AD	3.008792422038649e-15	0.0348466037833015
C64_44	AD	2.832553668622132e-14	0.0323398889009535
C64_45	AD	7.458264713486759e-13	0.0286938360997704
C64_46	AD	8.636151066048011e-21	0.0492948643831892
C64_47	AD	4.910519619415236e-18	0.0420816690339774
C64_48	AD	5.2548690859985444e-33	0.0819942309727013
C64_49	AD	2.491577779450215e-17	0.0402435575506843
C64_50	AD	4.1693446465147885e-17	0.0396618706336724
C64_51	AD	1.3602719884366838e-32	0.0808726191685374
C64_52	AD	2.637639967291408e-22	0.0532865113242744
C64_53	AD	7.225423662938258e-29	0.0707955725900948
C64_54	AD	7.141415169293853e-38	0.0953357752662244
C64_55	AD	4.671107563542761e-19	0.0447513895448805
C64_56	AD	7.11482344822337e-51	0.1318446675890844
C64_57	AD	1.0221495120691379e-29	0.073080517059241
C64_58	AD	2.1974873858714056e-16	0.037784558328007
C64_59	AD	5.1387331820128133e-23	0.0551652117654322
C64_60	AD	7.703141129846618e-29	0.0707150258978006
C64_61	AD	3.486029378618808e-34	0.085204549135011
C64_62	AD	1.0223658233986691e-11	0.0257937081168136
C64_63	AD	1.918625248947884e-71	0.192198265222014
C64_64	AD	1.064997702782298e-06	0.0131833712012321
C128_1	AD	7.554187796255049e-07	0.0135544568421928
C128_2	AD	1.0199643677827457e-51	0.1342577950763039
C128_3	AD	1.3023788061577224e-130	0.3847419746798544
C128_5	AD	0.0001638575229105	0.007844902027594
C128_10	AD	6.221512303130745e-41	0.1038120033627114
C128_11	AD	7.061447207305633e-06	0.0111616316820115
C128_16	AD	6.516420527943993e-07	0.0137135615558727
C128_18	AD	3.062676488084964e-75	0.2037050260844167
C128_19	AD	4.809296809288153e-54	0.1409385868995759
C128_20	AD	2.5432512715963942e-11	0.0247851644036408
C128_21	AD	1.0958652092307856e-12	0.0282707269254278
C128_22	AD	1.9059187357440717e-11	0.025103354543513
C128_23	AD	1.244410663752267e-42	0.1085531779467422
C128_24	AD	2.219563085353405e-40	0.1022836457611885
C128_26	AD	1.474467304868964e-28	0.0699592111457961
C128_27	AD	1.4238618812535663e-30	0.07539069593119
C128_29	AD	4.587608591579692e-18	0.0421579349449748
C128_30	AD	1.903787192824183e-26	0.0642948248402597
C128_31	AD	1.4311897080588589e-18	0.0434779936993571
C128_32	AD	1.5940296259827465e-05	0.0102957535216447
C128_33	AD	4.791005408994297e-38	0.0958241427262874
C128_34	AD	2.7389263724467024e-24	0.0585462165793819
C128_35	AD	4.954477977909906e-13	0.029150902432708
C128_36	AD	4.738760261103783e-07	0.0140552646465634
C128_37	AD	1.6547486544348368e-17	0.0407094572225107
C128_38	AD	2.881249219332154e-40	0.1019708119930825
C128_39	AD	5.213066525347967e-45	0.1152297526205615
C128_40	AD	0.00017952887088	0.007752062260132
C128_41	AD	1.3878150158295715e-11	0.02545235749978
C128_42	AD	2.273473704394062e-34	0.085717710477572
C128_43	AD	5.2263142010692784e-15	0.0342318347470775
C128_44	AD	9.371499858282941e-13	0.0284395480378272
C128_45	AD	1.3330255163138684e-08	0.0179209615798737
C128_46	AD	5.713110267035308e-24	0.0576892843506629
C128_47	AD	4.952885033091583e-31	0.076632805670513
C128_48	AD	1.4919112518457098e-29	0.0726337569570808
C128_49	AD	2.269578266447685e-11	0.0249101561414706
C128_50	AD	4.604424319291563e-17	0.0395487509890138
C128_51	AD	8.367805130856296e-23	0.0546038302468647
